,Player,HOF Probability,Inducted
283,Ron Gant,2.9%,No
284,Bobby Thomson,2.9%,No
285,Elston Howard,2.8%,No
286,Lonnie Smith,2.8%,No
287,Wally Moses,2.8%,No
288,Ted Kluszewski,2.8%,No
289,Jeff Heath,2.8%,No
290,Cecil Travis,2.7%,No
291,Mickey Tettleton,2.7%,No
292,Dusty Baker,2.6%,No
293,Dom DiMaggio,2.6%,No
294,Alex Ríos,2.6%,No
295,Javy López,2.6%,No
296,Rudy York,2.5%,No
297,Carlos Lee,2.5%,No
298,Brian Jordan,2.5%,No
299,Brian Roberts,2.5%,No
300,Vernon Wells,2.5%,No
301,Mo Vaughn,2.5%,No
302,Edgardo Alfonzo,2.5%,No
303,Ken Keltner,2.4%,No
304,Paul Konerko,2.4%,No
305,Bill Doran,2.4%,No
306,Don Money,2.4%,No
307,Tony Peña,2.3%,No
308,Dwayne Murphy,2.3%,No
309,Phil Cavarretta,2.3%,No
310,Darin Erstad,2.3%,No
311,José Valentín,2.2%,No
312,Michael Young,2.2%,No
313,Jayson Werth,2.2%,No
314,Brandon Phillips,2.2%,No
315,Ken McMullen,2.2%,No
316,Adam Jones,2.2%,No
317,Hal Trosky,2.2%,No
318,Robby Thompson,2.2%,No
319,Garret Anderson,2.1%,No
320,Manny Sanguillén,2.1%,No
321,Garry Templeton,2.0%,No
322,Bret Boone,2.0%,No
323,Rico Carty,2.0%,No
324,Elbie Fletcher,2.0%,No
325,Hal McRae,1.9%,No
326,Don Baylor,1.9%,No
327,Bill Mazeroski HOF,1.9%,Yes
328,Shane Victorino,1.9%,No
329,Ron Fairly,1.8%,No
330,Joe Carter,1.8%,No
331,Lance Johnson,1.8%,No
332,Lloyd Moseby,1.8%,No
333,Prince Fielder,1.8%,No
334,Jacoby Ellsbury,1.8%,No
335,Mickey Rivers,1.8%,No
336,Terry Pendleton,1.8%,No
337,Ken Griffey,1.7%,No
338,Scott Fletcher,1.7%,No
339,Wally Joyner,1.7%,No
340,Raúl Mondesí,1.7%,No
341,Pete Runnels,1.7%,No
342,Del Crandall,1.7%,No
343,Carl Furillo,1.7%,No
344,Gary Matthews,1.6%,No
345,Roy Smalley,1.6%,No
346,George Hendrick,1.6%,No
347,Von Hayes,1.6%,No
